Data_ID,KPI_ID,KPI_Name,KPI_Description,KPI_Unit,KPI_Target_Type,Department_ID,Department_Name,Department_Description,Actual_Value,Target_Value,Variance,Achievement_Rate,Status,Performance_Category,Period,Date,DateTime,Year,Month,Month_Name,Quarter,Week,Day,Weekday,Notes,Created_By
14,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,74103.62,100000.0,-25896.380000000005,74.1,Below Target,Poor,daily,2025-07-28,2025-07-28 04:56:15,2025,7,July,Q3,31,28,Monday,,system
15,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,57086.2,100000.0,-42913.8,57.09,Below Target,Poor,daily,2025-07-29,2025-07-29 04:56:15,2025,7,July,Q3,31,29,Tuesday,,system
16,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,54423.16,100000.0,-45576.84,54.42,Below Target,Poor,daily,2025-07-30,2025-07-30 04:56:15,2025,7,July,Q3,31,30,Wednesday,,system
17,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,51990.03,100000.0,-48009.97,51.99,Below Target,Poor,daily,2025-07-31,2025-07-31 04:56:15,2025,7,July,Q3,31,31,Thursday,,system
18,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,56121.32,100000.0,-43878.68,56.12,Below Target,Poor,daily,2025-08-01,2025-08-01 04:56:15,2025,8,August,Q3,31,1,Friday,,system
19,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,80892.59,100000.0,-19107.410000000003,80.89,Below Target,Fair,daily,2025-08-02,2025-08-02 04:56:15,2025,8,August,Q3,31,2,Saturday,,system
20,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,101545.18,100000.0,1545.179999999993,101.55,Above Target,Excellent,daily,2025-08-03,2025-08-03 04:56:15,2025,8,August,Q3,31,3,Sunday,,system
21,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,97570.25,100000.0,-2429.75,97.57,Below Target,Good,daily,2025-08-04,2025-08-04 04:56:15,2025,8,August,Q3,32,4,Monday,,system
22,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,106887.49,100000.0,6887.490000000005,106.89,Above Target,Excellent,daily,2025-08-05,2025-08-05 04:56:15,2025,8,August,Q3,32,5,Tuesday,,system
23,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,50452.11,100000.0,-49547.89,50.45,Below Target,Poor,daily,2025-08-06,2025-08-06 04:56:15,2025,8,August,Q3,32,6,Wednesday,,system
24,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,85382.96,100000.0,-14617.039999999994,85.38,Below Target,Fair,daily,2025-08-07,2025-08-07 04:56:15,2025,8,August,Q3,32,7,Thursday,,system
25,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,63104.49,100000.0,-36895.51,63.1,Below Target,Poor,daily,2025-08-08,2025-08-08 04:56:15,2025,8,August,Q3,32,8,Friday,,system
26,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,138905.19,100000.0,38905.19,138.91,Above Target,Excellent,daily,2025-08-09,2025-08-09 04:56:15,2025,8,August,Q3,32,9,Saturday,,system
27,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,147383.42,100000.0,47383.42000000001,147.38,Above Target,Excellent,daily,2025-08-10,2025-08-10 04:56:15,2025,8,August,Q3,32,10,Sunday,,system
28,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,114218.67,100000.0,14218.669999999998,114.22,Above Target,Excellent,daily,2025-08-11,2025-08-11 04:56:15,2025,8,August,Q3,33,11,Monday,,system
29,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,98626.02,100000.0,-1373.979999999996,98.63,Below Target,Good,daily,2025-08-12,2025-08-12 04:56:15,2025,8,August,Q3,33,12,Tuesday,,system
30,1,Monthly Revenue,Total monthly revenue,$,higher_better,1,Sales,Sales and Revenue Generation,105261.28,100000.0,5261.279999999999,105.26,Above Target,Excellent,daily,2025-08-13,2025-08-13 04:56:15,2025,8,August,Q3,33,13,Wednesday,,system
31,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,73.18,80.0,-6.819999999999993,91.48,Below Target,Good,daily,2025-07-15,2025-07-15 04:56:15,2025,7,July,Q3,29,15,Tuesday,,system
32,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,64.74,80.0,-15.260000000000005,80.92,Below Target,Fair,daily,2025-07-16,2025-07-16 04:56:15,2025,7,July,Q3,29,16,Wednesday,,system
33,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,70.37,80.0,-9.629999999999995,87.96,Below Target,Fair,daily,2025-07-17,2025-07-17 04:56:15,2025,7,July,Q3,29,17,Thursday,,system
34,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,84.03,80.0,4.030000000000001,105.04,Above Target,Excellent,daily,2025-07-18,2025-07-18 04:56:15,2025,7,July,Q3,29,18,Friday,,system
35,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,84.93,80.0,4.930000000000007,106.16,Above Target,Excellent,daily,2025-07-19,2025-07-19 04:56:15,2025,7,July,Q3,29,19,Saturday,,system
36,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,64.54,80.0,-15.459999999999994,80.68,Below Target,Fair,daily,2025-07-20,2025-07-20 04:56:15,2025,7,July,Q3,29,20,Sunday,,system
37,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,77.99,80.0,-2.010000000000005,97.49,Below Target,Good,daily,2025-07-21,2025-07-21 04:56:15,2025,7,July,Q3,30,21,Monday,,system
38,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,79.76,80.0,-0.23999999999999488,99.7,Below Target,Good,daily,2025-07-22,2025-07-22 04:56:15,2025,7,July,Q3,30,22,Tuesday,,system
39,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,71.7,80.0,-8.299999999999997,89.62,Below Target,Fair,daily,2025-07-23,2025-07-23 04:56:15,2025,7,July,Q3,30,23,Wednesday,,system
40,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,88.5,80.0,8.5,110.62,Above Target,Excellent,daily,2025-07-24,2025-07-24 04:56:15,2025,7,July,Q3,30,24,Thursday,,system
41,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,70.78,80.0,-9.219999999999999,88.48,Below Target,Fair,daily,2025-07-25,2025-07-25 04:56:15,2025,7,July,Q3,30,25,Friday,,system
42,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,60.42,80.0,-19.58,75.52,Below Target,Fair,daily,2025-07-26,2025-07-26 04:56:15,2025,7,July,Q3,30,26,Saturday,,system
43,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,76.2,80.0,-3.799999999999997,95.25,Below Target,Good,daily,2025-07-27,2025-07-27 04:56:15,2025,7,July,Q3,30,27,Sunday,,system
44,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,65.86,80.0,-14.14,82.33,Below Target,Fair,daily,2025-07-28,2025-07-28 04:56:15,2025,7,July,Q3,31,28,Monday,,system
45,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,71.32,80.0,-8.680000000000007,89.15,Below Target,Fair,daily,2025-07-29,2025-07-29 04:56:15,2025,7,July,Q3,31,29,Tuesday,,system
46,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,72.02,80.0,-7.980000000000004,90.03,Below Target,Good,daily,2025-07-30,2025-07-30 04:56:15,2025,7,July,Q3,31,30,Wednesday,,system
47,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,64.66,80.0,-15.340000000000003,80.82,Below Target,Fair,daily,2025-07-31,2025-07-31 04:56:15,2025,7,July,Q3,31,31,Thursday,,system
48,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,61.84,80.0,-18.159999999999997,77.3,Below Target,Fair,daily,2025-08-01,2025-08-01 04:56:15,2025,8,August,Q3,31,1,Friday,,system
49,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,76.68,80.0,-3.319999999999993,95.85,Below Target,Good,daily,2025-08-02,2025-08-02 04:56:15,2025,8,August,Q3,31,2,Saturday,,system
50,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,64.87,80.0,-15.129999999999995,81.09,Below Target,Fair,daily,2025-08-03,2025-08-03 04:56:15,2025,8,August,Q3,31,3,Sunday,,system
51,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,93.6,80.0,13.599999999999994,117.0,Above Target,Excellent,daily,2025-08-04,2025-08-04 04:56:15,2025,8,August,Q3,32,4,Monday,,system
52,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,67.87,80.0,-12.129999999999995,84.84,Below Target,Fair,daily,2025-08-05,2025-08-05 04:56:15,2025,8,August,Q3,32,5,Tuesday,,system
53,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,87.94,80.0,7.939999999999998,109.93,Above Target,Excellent,daily,2025-08-06,2025-08-06 04:56:15,2025,8,August,Q3,32,6,Wednesday,,system
54,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,85.0,80.0,5.0,106.25,Above Target,Excellent,daily,2025-08-07,2025-08-07 04:56:15,2025,8,August,Q3,32,7,Thursday,,system
55,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,78.72,80.0,-1.2800000000000011,98.4,Below Target,Good,daily,2025-08-08,2025-08-08 04:56:15,2025,8,August,Q3,32,8,Friday,,system
56,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,63.79,80.0,-16.21,79.74,Below Target,Fair,daily,2025-08-09,2025-08-09 04:56:15,2025,8,August,Q3,32,9,Saturday,,system
57,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,80.12,80.0,0.12000000000000455,100.15,Above Target,Excellent,daily,2025-08-10,2025-08-10 04:56:15,2025,8,August,Q3,32,10,Sunday,,system
58,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,89.74,80.0,9.739999999999995,112.17,Above Target,Excellent,daily,2025-08-11,2025-08-11 04:56:15,2025,8,August,Q3,33,11,Monday,,system
59,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,89.4,80.0,9.400000000000006,111.75,Above Target,Excellent,daily,2025-08-12,2025-08-12 04:56:15,2025,8,August,Q3,33,12,Tuesday,,system
60,2,Conversion Rate,Lead to customer conversion rate,%,higher_better,1,Sales,Sales and Revenue Generation,68.32,80.0,-11.680000000000007,85.4,Below Target,Fair,daily,2025-08-13,2025-08-13 04:56:15,2025,8,August,Q3,33,13,Wednesday,,system
61,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,99.73,100.0,-0.269999999999996,99.73,Below Target,Good,daily,2025-07-15,2025-07-15 04:56:15,2025,7,July,Q3,29,15,Tuesday,,system
62,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,137.07,100.0,37.06999999999999,137.07,Above Target,Excellent,daily,2025-07-16,2025-07-16 04:56:15,2025,7,July,Q3,29,16,Wednesday,,system
63,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,136.77,100.0,36.77000000000001,136.77,Above Target,Excellent,daily,2025-07-17,2025-07-17 04:56:15,2025,7,July,Q3,29,17,Thursday,,system
64,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,120.72,100.0,20.72,120.72,Above Target,Excellent,daily,2025-07-18,2025-07-18 04:56:15,2025,7,July,Q3,29,18,Friday,,system
65,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,62.26,100.0,-37.74,62.26,Below Target,Poor,daily,2025-07-19,2025-07-19 04:56:15,2025,7,July,Q3,29,19,Saturday,,system
66,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,101.53,100.0,1.5300000000000011,101.53,Above Target,Excellent,daily,2025-07-20,2025-07-20 04:56:15,2025,7,July,Q3,29,20,Sunday,,system
67,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,76.81,100.0,-23.189999999999998,76.81,Below Target,Fair,daily,2025-07-21,2025-07-21 04:56:15,2025,7,July,Q3,30,21,Monday,,system
68,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,118.63,100.0,18.629999999999995,118.63,Above Target,Excellent,daily,2025-07-22,2025-07-22 04:56:15,2025,7,July,Q3,30,22,Tuesday,,system
69,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,143.04,100.0,43.03999999999999,143.04,Above Target,Excellent,daily,2025-07-23,2025-07-23 04:56:15,2025,7,July,Q3,30,23,Wednesday,,system
70,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,138.75,100.0,38.75,138.75,Above Target,Excellent,daily,2025-07-24,2025-07-24 04:56:15,2025,7,July,Q3,30,24,Thursday,,system
71,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,142.87,100.0,42.870000000000005,142.87,Above Target,Excellent,daily,2025-07-25,2025-07-25 04:56:15,2025,7,July,Q3,30,25,Friday,,system
72,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,96.82,100.0,-3.180000000000007,96.82,Below Target,Good,daily,2025-07-26,2025-07-26 04:56:15,2025,7,July,Q3,30,26,Saturday,,system
73,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,86.35,100.0,-13.650000000000006,86.35,Below Target,Fair,daily,2025-07-27,2025-07-27 04:56:15,2025,7,July,Q3,30,27,Sunday,,system
74,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,87.22,100.0,-12.780000000000001,87.22,Below Target,Fair,daily,2025-07-28,2025-07-28 04:56:15,2025,7,July,Q3,31,28,Monday,,system
75,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,59.84,100.0,-40.16,59.84,Below Target,Poor,daily,2025-07-29,2025-07-29 04:56:15,2025,7,July,Q3,31,29,Tuesday,,system
76,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,137.9,100.0,37.900000000000006,137.9,Above Target,Excellent,daily,2025-07-30,2025-07-30 04:56:15,2025,7,July,Q3,31,30,Wednesday,,system
77,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,56.65,100.0,-43.35,56.65,Below Target,Poor,daily,2025-07-31,2025-07-31 04:56:15,2025,7,July,Q3,31,31,Thursday,,system
78,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,133.46,100.0,33.46000000000001,133.46,Above Target,Excellent,daily,2025-08-01,2025-08-01 04:56:15,2025,8,August,Q3,31,1,Friday,,system
79,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,81.68,100.0,-18.319999999999993,81.68,Below Target,Fair,daily,2025-08-02,2025-08-02 04:56:15,2025,8,August,Q3,31,2,Saturday,,system
80,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,102.11,100.0,2.1099999999999994,102.11,Above Target,Excellent,daily,2025-08-03,2025-08-03 04:56:15,2025,8,August,Q3,31,3,Sunday,,system
81,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,145.65,100.0,45.650000000000006,145.65,Above Target,Excellent,daily,2025-08-04,2025-08-04 04:56:15,2025,8,August,Q3,32,4,Monday,,system
82,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,129.46,100.0,29.460000000000008,129.46,Above Target,Excellent,daily,2025-08-05,2025-08-05 04:56:15,2025,8,August,Q3,32,5,Tuesday,,system
83,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,93.24,100.0,-6.760000000000005,93.24,Below Target,Good,daily,2025-08-06,2025-08-06 04:56:15,2025,8,August,Q3,32,6,Wednesday,,system
84,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,131.38,100.0,31.379999999999995,131.38,Above Target,Excellent,daily,2025-08-07,2025-08-07 04:56:15,2025,8,August,Q3,32,7,Thursday,,system
85,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,86.54,100.0,-13.459999999999994,86.54,Below Target,Fair,daily,2025-08-08,2025-08-08 04:56:15,2025,8,August,Q3,32,8,Friday,,system
86,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,81.73,100.0,-18.269999999999996,81.73,Below Target,Fair,daily,2025-08-09,2025-08-09 04:56:15,2025,8,August,Q3,32,9,Saturday,,system
87,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,126.69,100.0,26.689999999999998,126.69,Above Target,Excellent,daily,2025-08-10,2025-08-10 04:56:15,2025,8,August,Q3,32,10,Sunday,,system
88,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,131.9,100.0,31.900000000000006,131.9,Above Target,Excellent,daily,2025-08-11,2025-08-11 04:56:15,2025,8,August,Q3,33,11,Monday,,system
89,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,113.14,100.0,13.14,113.14,Above Target,Excellent,daily,2025-08-12,2025-08-12 04:56:15,2025,8,August,Q3,33,12,Tuesday,,system
90,3,Average Deal Size,Average value per deal,$,higher_better,1,Sales,Sales and Revenue Generation,136.84,100.0,36.84,136.84,Above Target,Excellent,daily,2025-08-13,2025-08-13 04:56:15,2025,8,August,Q3,33,13,Wednesday,,system
91,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,1417.5,3000.0,-1582.5,47.25,Below Target,Poor,daily,2025-07-15,2025-07-15 04:56:15,2025,7,July,Q3,29,15,Tuesday,,system
92,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,2490.89,3000.0,-509.1100000000001,83.03,Below Target,Fair,daily,2025-07-16,2025-07-16 04:56:15,2025,7,July,Q3,29,16,Wednesday,,system
93,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,3691.35,3000.0,691.3499999999999,123.05,Above Target,Excellent,daily,2025-07-17,2025-07-17 04:56:15,2025,7,July,Q3,29,17,Thursday,,system
94,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,4033.5,3000.0,1033.5,134.45,Above Target,Excellent,daily,2025-07-18,2025-07-18 04:56:15,2025,7,July,Q3,29,18,Friday,,system
95,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,4330.88,3000.0,1330.88,144.36,Above Target,Excellent,daily,2025-07-19,2025-07-19 04:56:15,2025,7,July,Q3,29,19,Saturday,,system
96,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,2428.82,3000.0,-571.1799999999998,80.96,Below Target,Fair,daily,2025-07-20,2025-07-20 04:56:15,2025,7,July,Q3,29,20,Sunday,,system
97,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,3273.46,3000.0,273.46000000000004,109.12,Above Target,Excellent,daily,2025-07-21,2025-07-21 04:56:15,2025,7,July,Q3,30,21,Monday,,system
98,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,1862.63,3000.0,-1137.37,62.09,Below Target,Poor,daily,2025-07-22,2025-07-22 04:56:15,2025,7,July,Q3,30,22,Tuesday,,system
99,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,2617.93,3000.0,-382.07000000000016,87.26,Below Target,Fair,daily,2025-07-23,2025-07-23 04:56:15,2025,7,July,Q3,30,23,Wednesday,,system
100,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,1117.76,3000.0,-1882.24,37.26,Below Target,Poor,daily,2025-07-24,2025-07-24 04:56:15,2025,7,July,Q3,30,24,Thursday,,system
101,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,2125.05,3000.0,-874.9499999999998,70.84,Below Target,Poor,daily,2025-07-25,2025-07-25 04:56:15,2025,7,July,Q3,30,25,Friday,,system
102,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,1707.73,3000.0,-1292.27,56.92,Below Target,Poor,daily,2025-07-26,2025-07-26 04:56:15,2025,7,July,Q3,30,26,Saturday,,system
103,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,1834.79,3000.0,-1165.21,61.16,Below Target,Poor,daily,2025-07-27,2025-07-27 04:56:15,2025,7,July,Q3,30,27,Sunday,,system
104,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,2616.6,3000.0,-383.4000000000001,87.22,Below Target,Fair,daily,2025-07-28,2025-07-28 04:56:15,2025,7,July,Q3,31,28,Monday,,system
105,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,2806.11,3000.0,-193.88999999999987,93.54,Below Target,Good,daily,2025-07-29,2025-07-29 04:56:15,2025,7,July,Q3,31,29,Tuesday,,system
106,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,2902.84,3000.0,-97.15999999999985,96.76,Below Target,Good,daily,2025-07-30,2025-07-30 04:56:15,2025,7,July,Q3,31,30,Wednesday,,system
107,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,1910.38,3000.0,-1089.62,63.68,Below Target,Poor,daily,2025-07-31,2025-07-31 04:56:15,2025,7,July,Q3,31,31,Thursday,,system
108,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,1295.59,3000.0,-1704.41,43.19,Below Target,Poor,daily,2025-08-01,2025-08-01 04:56:15,2025,8,August,Q3,31,1,Friday,,system
109,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,2895.62,3000.0,-104.38000000000011,96.52,Below Target,Good,daily,2025-08-02,2025-08-02 04:56:15,2025,8,August,Q3,31,2,Saturday,,system
110,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,3154.91,3000.0,154.90999999999985,105.16,Above Target,Excellent,daily,2025-08-03,2025-08-03 04:56:15,2025,8,August,Q3,31,3,Sunday,,system
111,4,Lead Generation,Number of leads generated,leads,higher_better,2,Marketing,Marketing and Customer Acquisition,2493.41,3000.0,-506.59000000000015,83.11,Below Target,Fair,daily,2025-08-04,2025-08-04 04:56:15,2025,8,August,Q3,32,4,Monday,,system
